Enchantment Skill Level,Description,Initial Cost (mp/[25%]),Mana Maintenance Cost (mp/[25%]/round),Fatigue Maintenance Cost (%fatigue/[25%]/round)
37,The user can affect up to a total of 750% fatigue in an area of up to 1 m^3  or up to 25% fatigue of an area up to 25 m^3,1,2,3
38,The user can affect up to a total of 750% fatigue in an area of up to 1 m^3  or up to 25% fatigue of an area up to 25 m^3,1,2,3
39,The user can affect up to a total of 750% fatigue in an area of up to 1 m^3  or up to 25% fatigue of an area up to 25 m^3,1,2,3
40,The user can affect up to a total of 750% fatigue in an area of up to 1 m^3  or up to 25% fatigue of an area up to 25 m^3,1,2,3
41,The user can affect up to a total of 1000% fatigue in an area of up to 1 m^3  or up to 25% fatigue of an area up to 30 m^3,1,1,2
42,The user can affect up to a total of 1000% fatigue in an area of up to 1 m^3  or up to 25% fatigue of an area up to 30 m^3,1,1,2
43,The user can affect up to a total of 1000% fatigue in an area of up to 1 m^3  or up to 25% fatigue of an area up to 30 m^3,1,1,2
44,The user can affect up to a total of 1000% fatigue in an area of up to 1 m^3  or up to 25% fatigue of an area up to 30 m^3,1,1,2
45,The user can affect up to a total of 1000% fatigue in an area of up to 1 m^3  or up to 25% fatigue of an area up to 30 m^3,1,1,2
46,The user can affect up to a total of 1500% fatigue in an area of up to 1 m^3  or up to 25% fatigue of an area up to 50 m^3,1,1,1
47,The user can affect up to a total of 1500% fatigue in an area of up to 1 m^3  or up to 25% fatigue of an area up to 50 m^3,1,1,1
48,The user can affect up to a total of 1500% fatigue in an area of up to 1 m^3  or up to 25% fatigue of an area up to 50 m^3,1,1,1
49,The user can affect up to a total of 1500% fatigue in an area of up to 1 m^3  or up to 25% fatigue of an area up to 50 m^3,1,1,1
50,The user can affect up to a total of 1500% fatigue in an area of up to 1 m^3  or up to 25% fatigue of an area up to 50 m^3,1,1,1
